生效日期,城市省份ID,城市名_中文,城市名_英文,胜利点,城市人口_原版无独立字段,人口口径,所属地区人口,所属地区ID,所属地区_中文,所属地区_英文,地区类型,地区建筑槽,本地补给,地区省份数,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,核心TAG,宣称TAG,省份类型,地形,是否沿海,大陆,大陆ID,省份RGB,地图X,地图高度Y,地图Z,地图旋转,地图缩放,是否补给节点,补给节点等级字段,铁路经过数量,铁路最高等级,地区资源,地区建筑,本省建筑,城市特殊名_中文,城市特殊名_英文,来源州文件
base,6983,巴尼亚卢卡,Banja Luka,3,,所属地区manpower,1910200,104,波斯尼亚,Bosnia,town,4,7.0,17,YUG,南斯拉夫,Yugoslavia,,YUG;BOS,,land,hills,false,europe,1,"88,195,56",3068.64,12.30,1409.00,1.57,0.24,no,,0,0,"{""aluminium"": 7, ""coal"": 2}","{""air_base"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\104-Bosnia.txt
base,9809,波德戈里察,Podgorica,3,,所属地区manpower,895500,105,黑山,Montenegro,rural,2,3.0,5,YUG,南斯拉夫,Yugoslavia,,MNT;YUG,,land,mountain,true,europe,1,"130,60,174",3107.61,13.80,1371.60,-1.57,0.20,no,,0,0,"{""aluminium"": 70.0, ""chromium"": 20.0}","{""industrial_complex"": 1, ""infrastructure"": 2}","{""naval_base"": 1}",ITA:波多戈里扎,ITA:Podgorizza,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\105-Montenegro.txt
base,9821,科托尔,Kotor,1,,所属地区manpower,895500,105,黑山,Montenegro,rural,2,3.0,5,YUG,南斯拉夫,Yugoslavia,,MNT;YUG,,land,mountain,true,europe,1,"130,78,14",3096.84,11.23,1371.00,1.57,0.24,no,,0,0,"{""aluminium"": 70.0, ""chromium"": 20.0}","{""industrial_complex"": 1, ""infrastructure"": 2}","{""naval_base"": 1}",ITA:卡塔罗,ITA:Cattaro,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\105-Montenegro.txt
base,3882,斯科普里,Skopje,5,,所属地区manpower,1030650,106,马其顿,Macedonia,rural,2,0.0,6,YUG,南斯拉夫,Yugoslavia,,YUG;MAC,BUL,land,mountain,false,europe,1,"46,87,143",3145.52,12.09,1360.00,-1.57,0.20,yes,1,2,2,"{""aluminium"": 10.0, ""chromium"": 50.0}","{""air_base"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,ALB:什库普; TUR:于斯屈布,ALB:Shkup; TUR:Üsküb,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\106-Macedonia.txt
base,11586,贝尔格莱德,Belgrade,15,,所属地区manpower,1279121,107,塞尔维亚,Serbia,large_city,8,4.0,8,YUG,南斯拉夫,Yugoslavia,,YUG;SER,,land,urban,false,europe,1,"171,27,57",3121.64,10.86,1409.00,1.57,0.20,yes,1,2,2,"{""coal"": 4}","{""air_base"": 5, ""arms_factory"": 3, ""industrial_complex"": 4, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\107-Kosavo.txt
base,9602,尼什,Niš,3,,所属地区manpower,707000,108,摩拉瓦,Morava,town,4,5.0,10,YUG,南斯拉夫,Yugoslavia,,YUG;SER,,land,forest,false,europe,1,"129,24,184",3141.20,10.75,1397.00,1.57,0.20,yes,1,4,2,"{""steel"": 3.0}","{""infrastructure"": 2}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\108-Eastern Serbia.txt
base,11581,萨格勒布,Zagreb,3,,所属地区manpower,2224400,109,克罗地亚,Croatia,large_town,5,0.0,11,YUG,南斯拉夫,Yugoslavia,,YUG;CRO,,land,urban,false,europe,1,"171,21,177",3052.64,10.04,1435.00,1.57,0.20,yes,1,5,2,"{""coal"": 1}","{""industrial_complex"": 3, ""infrastructure"": 3}",,AUS:阿格拉姆; GER:阿格拉姆; HUN:札格拉布; RKC:阿格拉姆,AUS:Agram; GER:Agram; HUN:Zágráb; RKC:Agram,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\109-Eastern Croatia.txt
base,6115,奥斯陆,Oslo,13,,所属地区manpower,1057185,110,奥斯陆峡湾,Oslofjord,large_town,5,0.0,8,NOR,挪威,Norway,,NOR,,land,urban,true,europe,1,"84,93,6",2971.96,10.60,1736.29,-1.57,0.24,yes,1,4,1,,"{""air_base"": 4, ""arms_factory"": 1, ""dockyard"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}","{""coastal_bunker"": 3, ""naval_base"": 6}",DEN:克里斯蒂安尼亚,DEN:Christiania,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\110-Norway.txt
base,11151,腓特烈斯塔,Fredrikstad,2,,所属地区manpower,1057185,110,奥斯陆峡湾,Oslofjord,large_town,5,0.0,8,NOR,挪威,Norway,,NOR,,land,forest,true,europe,1,"168,141,177",2982.84,9.68,1717.00,1.57,0.24,no,,0,0,,"{""air_base"": 4, ""arms_factory"": 1, ""dockyard"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\110-Norway.txt
base,11105,赫尔辛基,Helsinki,15,,所属地区manpower,559000,111,新地,Uusimaa,large_town,5,0.0,8,FIN,芬兰,Finland,,FIN,,land,urban,true,europe,1,"168,87,197",3190.40,9.70,1741.00,1.57,0.24,yes,1,3,1,,"{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}","{""coastal_bunker"": 2, ""naval_base"": 5}",SWE:赫尔辛福什,SWE:Helsingfors,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\111-Uusima.txt
base,6009,波尔沃,Porvoo,1,,所属地区manpower,559000,111,新地,Uusimaa,large_town,5,0.0,8,FIN,芬兰,Finland,,FIN,,land,plains,true,europe,1,"84,0,71",3208.59,9.70,1744.28,1.57,0.24,no,,0,0,,"{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,SWE:博尔格,SWE:Borgå,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\111-Uusima.txt
base,11211,汉科,Hanko,1,,所属地区manpower,559000,111,新地,Uusimaa,large_town,5,0.0,8,FIN,芬兰,Finland,,FIN,,land,forest,true,europe,1,"168,207,217",3165.84,9.50,1735.00,1.57,0.20,no,,0,0,,"{""air_base"": 3, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,SWE:汉格,SWE:Hangö,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\111-Uusima.txt
base,11805,里斯本,Lisbon,20,,所属地区manpower,1995800,112,里斯本,Lisbon,city,6,12.0,5,POR,葡萄牙,Portugal,,POR,,land,urban,true,europe,1,"172,87,22",2662.55,9.70,1301.29,1.57,0.22,yes,1,3,2,"{""tungsten"": 32}","{""air_base"": 5, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}","{""naval_base"": 8}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\112-Lisbon.txt
base,3798,科英布拉,Coimbra,1,,所属地区manpower,1995800,112,里斯本,Lisbon,city,6,12.0,5,POR,葡萄牙,Portugal,,POR,,land,forest,false,europe,1,"46,12,3",2673.02,10.13,1323.00,1.57,0.22,no,,0,0,"{""tungsten"": 32}","{""air_base"": 5, ""arms_factory"": 2, ""dockyard"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\112-Lisbon.txt
base,285,韦克斯福德,Wexford,1,,所属地区manpower,1357600,113,伦斯特,Leinster,city,6,0.0,8,IRE,自由爱尔兰,Free Ireland,,IRE,,land,hills,true,europe,1,"1,63,190",2693.24,9.90,1580.00,-1.57,0.28,no,,0,0,"{""aluminium"": 0, ""coal"": 1, ""steel"": 2}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 5, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\113-Ireland.txt
base,303,塔拉莫尔,Tullamore,1,,所属地区manpower,1357600,113,伦斯特,Leinster,city,6,0.0,8,IRE,自由爱尔兰,Free Ireland,,IRE,,land,plains,false,europe,1,"1,87,60",2675.12,10.30,1596.00,1.57,0.24,no,,1,2,"{""aluminium"": 0, ""coal"": 1, ""steel"": 2}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 5, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\113-Ireland.txt
base,11293,都柏林,Dublin,10,,所属地区manpower,1357600,113,伦斯特,Leinster,city,6,0.0,8,IRE,自由爱尔兰,Free Ireland,,IRE,,land,urban,true,europe,1,"169,93,32",2697.16,11.66,1600.00,-1.57,0.24,yes,1,2,2,"{""aluminium"": 0, ""coal"": 1, ""steel"": 2}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 5, ""infrastructure"": 4}","{""naval_base"": 6}",DEN:都弗林; ICE:都弗林; NOR:都弗林,DEN:Dyflin; ICE:Dyflin; NOR:Dyflin,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\113-Ireland.txt
base,11773,卡利亚里,Cagliari,3,,所属地区manpower,991921,114,撒丁,Sardinia,town,4,0.0,8,ITA,意大利王国,Kingdom of Italy,,ITA;SPM,,land,urban,true,europe,1,"172,45,57",2940.30,9.70,1308.00,1.57,0.24,yes,1,1,1,"{""coal"": 1}","{""air_base"": 5, ""arms_factory"": 0, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\114-Sardinia.txt
base,9772,萨萨里,Sassari,2,,所属地区manpower,991921,114,撒丁,Sardinia,town,4,0.0,8,ITA,意大利王国,Kingdom of Italy,,ITA;SPM,,land,hills,true,europe,1,"130,18,209",2936.64,9.52,1335.00,1.57,0.20,no,,1,1,"{""coal"": 1}","{""air_base"": 5, ""arms_factory"": 0, ""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\114-Sardinia.txt
base,10074,巴勒莫,Palermo,20,,所属地区manpower,3836571,115,西西里,Sicily,city,6,0.0,10,ITA,意大利王国,Kingdom of Italy,,ITA;TTS,,land,urban,true,europe,1,"131,150,144",3010.64,10.16,1284.00,1.57,0.20,yes,1,1,2,,"{""air_base"": 10, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 2}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\115-Sicily.txt
base,4159,墨西拿,Messina,5,,所属地区manpower,3836571,115,西西里,Sicily,city,6,0.0,10,ITA,意大利王国,Kingdom of Italy,,ITA;TTS,,land,mountain,true,europe,1,"47,159,18",3043.80,10.19,1285.00,-1.57,0.20,yes,1,2,2,,"{""air_base"": 10, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 8}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\115-Sicily.txt
base,4014,卡塔尼亚,Catania,5,,所属地区manpower,3836571,115,西西里,Sicily,city,6,0.0,10,ITA,意大利王国,Kingdom of Italy,,ITA;TTS,,land,plains,true,europe,1,"47,18,193",3040.44,9.71,1275.00,-1.57,0.16,yes,1,1,1,,"{""air_base"": 10, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\115-Sicily.txt
base,13256,锡拉库萨,Siracusa,1,,所属地区manpower,3836571,115,西西里,Sicily,city,6,0.0,10,ITA,意大利王国,Kingdom of Italy,,ITA;TTS,,land,plains,true,europe,1,"226,59,117",3041.16,9.58,1266.00,-1.57,0.24,no,,0,0,,"{""air_base"": 10, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\115-Sicily.txt
base,12003,瓦莱塔,Valletta,5,,所属地区manpower,241621,116,马耳他,Malta,small_island,1,0.0,1,ENG,大不列颠,Great Britain,,MLT,,land,plains,true,europe,1,"173,102,207",3031.30,9.60,1247.76,1.57,0.16,no,,0,0,,"{""air_base"": 3, ""infrastructure"": 2}","{""coastal_bunker"": 1, ""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\116-Malta.txt
base,819,那不勒斯,Naples,20,,所属地区manpower,4240000,117,坎帕尼亚,Campania,city,6,13.0,9,ITA,意大利王国,Kingdom of Italy,,ITA;TTS,,land,urban,true,europe,1,"4,24,210",3028.02,9.59,1341.00,1.57,0.20,yes,1,3,2,"{""aluminium"": 10, ""steel"": 15}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}","{""naval_base"": 6}",ITA:那波利; TTS:那波利,ITA:Napoli; TTS:Napoli,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\117-Napoli.txt
base,4135,直布罗陀,Gibraltar,10,,所属地区manpower,21372,118,直布罗陀,Gibraltar,enclave,0,0.0,1,ENG,大不列颠,Great Britain,,,SPR,land,hills,true,europe,1,"47,132,78",2718.79,10.50,1251.72,-1.57,0.20,yes,1,0,0,,"{""air_base"": 2, ""infrastructure"": 3}","{""coastal_bunker"": 2, ""naval_base"": 5}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\118-Gibralter.txt
base,3379,贝尔法斯特,Belfast,5,,所属地区manpower,1198537,119,北爱尔兰,Northern Ireland,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG;IRE;NIR,,land,urban,true,europe,1,"43,189,198",2700.48,10.15,1624.00,1.57,0.26,yes,1,2,1,"{""aluminium"": 2, ""coal"": 2}","{""air_base"": 1, ""arms_factory"": 1, ""dockyard"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}","{""naval_base"": 4}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\119-Northern Ireland.txt
base,385,伦敦德里,Londonderry,1,,所属地区manpower,1198537,119,北爱尔兰,Northern Ireland,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG;IRE;NIR,,land,plains,false,europe,1,"1,186,70",2680.48,10.95,1626.00,1.57,0.26,yes,1,1,1,"{""aluminium"": 2, ""coal"": 2}","{""air_base"": 1, ""arms_factory"": 1, ""dockyard"": 2, ""industrial_complex"": 2, ""infrastructure"": 3}",,IRE:德里,IRE:Derry,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\119-Northern Ireland.txt
base,6062,斯托诺韦,Stornoway,1,,所属地区manpower,247873,120,苏格兰高地,Scottish Highlands,rural,2,0.0,16,ENG,大不列颠,Great Britain,,SCO;ENG,,land,mountain,true,europe,1,"84,36,61",2684.22,9.50,1699.00,1.57,0.42,no,,0,0,"{""aluminium"": 9, ""chromium"": 1, ""tungsten"": 16}","{""air_base"": 1, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\120-Scottish Highlands.txt
base,284,奥本,Oban,1,,所属地区manpower,247873,120,苏格兰高地,Scottish Highlands,rural,2,0.0,16,ENG,大不列颠,Great Britain,,SCO;ENG,,land,mountain,true,europe,1,"1,63,135",2712.64,10.05,1660.00,1.57,0.26,no,,0,0,"{""aluminium"": 9, ""chromium"": 1, ""tungsten"": 16}","{""air_base"": 1, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\120-Scottish Highlands.txt
base,9075,因弗内斯,Inverness,1,,所属地区manpower,247873,120,苏格兰高地,Scottish Highlands,rural,2,0.0,16,ENG,大不列颠,Great Britain,,SCO;ENG,,land,mountain,true,europe,1,"126,30,194",2724.64,12.07,1679.00,1.57,0.26,yes,1,1,1,"{""aluminium"": 9, ""chromium"": 1, ""tungsten"": 16}","{""air_base"": 1, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\120-Scottish Highlands.txt
base,11064,斯卡帕湾,Scapa Flow,1,,所属地区manpower,247873,120,苏格兰高地,Scottish Highlands,rural,2,0.0,16,ENG,大不列颠,Great Britain,,SCO;ENG,,land,plains,true,europe,1,"168,42,62",2751.60,9.50,1724.00,-1.57,0.28,no,,0,0,"{""aluminium"": 9, ""chromium"": 1, ""tungsten"": 16}","{""air_base"": 1, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 2}","{""naval_base"": 8, ""naval_supply_hub"": 1}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\120-Scottish Highlands.txt
base,9392,爱丁堡,Edinburgh,10,,所属地区manpower,1431624,121,洛锡安,Lothian,city,6,0.0,6,ENG,大不列颠,Great Britain,,SCO;ENG,,land,urban,true,europe,1,"127,189,64",2742.48,11.19,1652.00,1.57,0.18,yes,1,2,1,,"{""air_base"": 3, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\121-Scottish Lowlands.txt
base,6300,罗塞斯,Rosyth,1,,所属地区manpower,1431624,121,洛锡安,Lothian,city,6,0.0,6,ENG,大不列颠,Great Britain,,SCO;ENG,,land,plains,true,europe,1,"85,69,136",2742.12,11.71,1661.00,1.57,0.16,no,,1,1,,"{""air_base"": 3, ""dockyard"": 1, ""industrial_complex"": 1, ""infrastructure"": 4}","{""naval_base"": 5}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\121-Scottish Lowlands.txt
base,407,斯旺西,Swansea,3,,所属地区manpower,2309230,122,威尔士,Wales,city,6,0.0,8,ENG,大不列颠,Great Britain,,ENG;WLS,,land,plains,true,europe,1,"1,210,150",2731.48,9.60,1565.00,1.57,0.20,no,,0,0,"{""aluminium"": 3, ""coal"": 55, ""steel"": 11}","{""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\122-Wales.txt
base,311,雷克瑟姆,Wrexham,1,,所属地区manpower,2309230,122,威尔士,Wales,city,6,0.0,8,ENG,大不列颠,Great Britain,,ENG;WLS,,land,hills,false,europe,1,"1,96,160",2738.84,12.36,1586.00,1.57,0.24,no,,0,0,"{""aluminium"": 3, ""coal"": 55, ""steel"": 11}","{""industrial_complex"": 1, ""infrastructure"": 3}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\122-Wales.txt
base,377,加的夫,Cardiff,5,,所属地区manpower,2309230,122,威尔士,Wales,city,6,0.0,8,ENG,大不列颠,Great Britain,,ENG;WLS,,land,urban,true,europe,1,"1,177,180",2742.48,10.94,1562.00,1.57,0.22,yes,1,2,1,"{""aluminium"": 3, ""coal"": 55, ""steel"": 11}","{""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\122-Wales.txt
base,540,普利茅斯,Plymouth,10,,所属地区manpower,1221013,123,西南英格兰,South-West England,town,4,0.0,6,ENG,大不列颠,Great Britain,,ENG,,land,hills,true,europe,1,"2,147,25",2731.12,10.60,1539.74,-1.57,0.28,yes,1,1,1,,"{""air_base"": 6, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 4, ""radar_station"": 1}","{""naval_base"": 8}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\123-Cornwall.txt
base,6526,特鲁罗,Truro,1,,所属地区manpower,1221013,123,西南英格兰,South-West England,town,4,0.0,6,ENG,大不列颠,Great Britain,,ENG,,land,hills,true,europe,1,"86,105,181",2717.16,9.90,1535.84,-1.57,0.28,no,,0,0,,"{""air_base"": 6, ""anti_air_building"": 2, ""industrial_complex"": 1, ""infrastructure"": 4, ""radar_station"": 1}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\123-Cornwall.txt
base,408,维斯比,Visby,1,,所属地区manpower,56988,124,哥特兰,Gotland,small_island,1,0.0,2,SWE,瑞典王国,Kingdom of Sweden,,SWE,,land,plains,true,europe,1,"1,210,195",3095.92,9.70,1685.00,1.57,0.30,no,,0,0,,"{""infrastructure"": 3}","{""naval_base"": 1}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\124-Gotland.txt
base,271,伊普斯威奇,Ipswich,2,,所属地区manpower,1363174,125,东盎格利亚,East Anglia,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG,,land,plains,true,europe,1,"1,45,95",2819.60,9.90,1575.08,-1.57,0.24,yes,1,1,3,,"{""air_base"": 10, ""anti_air_building"": 2, ""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 4, ""radar_station"": 1}","{""naval_base"": 3}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\125-East Anglia.txt
base,322,诺里奇,Norwich,3,,所属地区manpower,1363174,125,东盎格利亚,East Anglia,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG,,land,plains,true,europe,1,"1,111,35",2817.43,9.90,1583.52,-1.57,0.24,no,,0,0,,"{""air_base"": 10, ""anti_air_building"": 2, ""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 4, ""radar_station"": 1}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\125-East Anglia.txt
base,6103,伦敦,London,50,,所属地区manpower,9824296,126,大伦敦区,Greater London Area,megalopolis,12,0.0,4,ENG,大不列颠,Great Britain,,ENG,,land,urban,false,europe,1,"84,78,26",2789.64,9.90,1563.00,1.57,0.22,yes,1,7,3,,"{""air_base"": 10, ""anti_air_building"": 5, ""arms_factory"": 3, ""dockyard"": 1, ""industrial_complex"": 3, ""infrastructure"": 5, ""radar_station"": 1}","{""landmark_big_ben"": {""allowed"": {""has_dlc"": ""Gotterdammerung""}, ""level"": 1}}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\126-Greater London Area.txt
base,3501,多佛尔,Dover,20,,所属地区manpower,3193383,127,萨塞克斯,Sussex,large_city,8,16.0,6,ENG,大不列颠,Great Britain,,ENG,,land,plains,true,europe,1,"44,99,138",2814.00,9.90,1554.77,-1.57,0.28,yes,1,1,1,"{""coal"": 6}","{""air_base"": 10, ""anti_air_building"": 2, ""arms_factory"": 1, ""dockyard"": 2, ""fuel_silo"": 1, ""industrial_complex"": 1, ""infrastructure"": 4, ""radar_station"": 1}","{""coastal_bunker"": 3, ""naval_base"": 6}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\127-South-east England.txt
base,9458,朴茨茅斯,Portsmouth,15,,所属地区manpower,3193383,127,萨塞克斯,Sussex,large_city,8,16.0,6,ENG,大不列颠,Great Britain,,ENG,,land,plains,true,europe,1,"128,57,39",2780.47,9.90,1548.44,-1.57,0.24,yes,1,1,1,"{""coal"": 6}","{""air_base"": 10, ""anti_air_building"": 2, ""arms_factory"": 1, ""dockyard"": 2, ""fuel_silo"": 1, ""industrial_complex"": 1, ""infrastructure"": 4, ""radar_station"": 1}","{""naval_base"": 10}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\127-South-east England.txt
base,9297,伯明翰,Birmingham,25,,所属地区manpower,3685235,128,西米德兰兹,West Midlands,metropolis,10,0.0,7,ENG,大不列颠,Great Britain,,ENG,,land,urban,false,europe,1,"127,72,64",2765.02,9.89,1581.00,1.57,0.20,yes,1,3,1,"{""coal"": 13, ""steel"": 27}","{""air_base"": 6, ""arms_factory"": 2, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\128-West Midlands.txt
base,6237,诺丁汉,Nottingham,10,,所属地区manpower,2212021,129,东米德兰兹,East Midlands,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG,,land,hills,false,europe,1,"85,15,211",2771.48,9.90,1593.00,1.57,0.20,no,,0,0,"{""coal"": 8, ""steel"": 11}","{""air_base"": 5, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\129-East Midlands.txt
base,11279,莱斯特,Leicester,3,,所属地区manpower,2212021,129,东米德兰兹,East Midlands,city,6,0.0,7,ENG,大不列颠,Great Britain,,ENG,,land,hills,false,europe,1,"169,75,192",2774.64,9.93,1583.00,1.57,0.26,no,,0,0,"{""coal"": 8, ""steel"": 11}","{""air_base"": 5, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\129-East Midlands.txt
base,9379,利兹,Leeds,10,,所属地区manpower,4762495,130,约克,Yorkshire,metropolis,10,0.0,9,ENG,大不列颠,Great Britain,,ENG,,land,urban,false,europe,1,"127,174,39",2767.12,10.69,1608.00,1.57,0.20,no,,1,2,"{""coal"": 51, ""steel"": 71}","{""air_base"": 10, ""arms_factory"": 2, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\130-Yorkshire.txt
base,11297,赫尔,Hull,5,,所属地区manpower,4762495,130,约克,Yorkshire,metropolis,10,0.0,9,ENG,大不列颠,Great Britain,,ENG,,land,urban,true,europe,1,"169,99,62",2787.84,9.80,1610.00,1.57,0.24,yes,1,1,1,"{""coal"": 51, ""steel"": 71}","{""air_base"": 10, ""arms_factory"": 2, ""industrial_complex"": 3, ""infrastructure"": 4}","{""naval_base"": 5}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\130-Yorkshire.txt
base,9315,谢菲尔德,Sheffield,15,,所属地区manpower,4762495,130,约克,Yorkshire,metropolis,10,0.0,9,ENG,大不列颠,Great Britain,,ENG,,land,urban,false,europe,1,"127,96,189",2771.83,10.60,1599.15,1.57,0.20,yes,1,5,2,"{""coal"": 51, ""steel"": 71}","{""air_base"": 10, ""arms_factory"": 2, ""industrial_complex"": 3, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\130-Yorkshire.txt
base,351,纽卡斯尔,Newcastle,8,,所属地区manpower,2128860,131,诺森伯兰,Northumberland,city,6,14.0,3,ENG,大不列颠,Great Britain,,ENG,,land,urban,true,europe,1,"1,144,155",2764.48,11.20,1634.00,1.57,0.22,yes,1,2,2,"{""coal"": 23, ""steel"": 18}","{""air_base"": 6, ""dockyard"": 4, ""industrial_complex"": 1, ""infrastructure"": 3}","{""naval_base"": 6}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\131-Northern England.txt
base,6384,利物浦,Liverpool,30,,所属地区manpower,5770454,132,兰开夏,Lancashire,metropolis,10,0.0,4,ENG,大不列颠,Great Britain,,ENG,,land,urban,true,europe,1,"85,171,166",2751.08,10.30,1603.41,-1.57,0.20,yes,1,3,2,"{""aluminium"": 2, ""coal"": 33, ""steel"": 31}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 3, ""industrial_complex"": 1, ""infrastructure"": 4}","{""naval_base"": 5}",,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\132-North-west England.txt
base,6318,曼彻斯特,Manchester,5,,所属地区manpower,5770454,132,兰开夏,Lancashire,metropolis,10,0.0,4,ENG,大不列颠,Great Britain,,ENG,,land,urban,false,europe,1,"85,93,61",2758.37,10.06,1602.00,1.57,0.18,no,,1,2,"{""aluminium"": 2, ""coal"": 33, ""steel"": 31}","{""air_base"": 3, ""arms_factory"": 1, ""dockyard"": 3, ""industrial_complex"": 1, ""infrastructure"": 4}",,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\132-North-west England.txt
